TCaixa,Dia,DataAbertura,DataFechamento,PodeFechar,PrimeiroAcesso,Id,IdPosto,IdEntidade,Troco,IdPontoVenda
3,2013-02-02 00:00:00,2013-02-02 05:40:14.000,2013-02-02 13:30:28.000,1,0,8FD7DF99-FEDC-49FE-AAEC-77E14A2E7B73,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,B3FCD11C-B416-42C4-ADAC-0BB5982890AF,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2012-05-31 00:00:00,2012-05-30 21:30:08.000,2012-05-31 05:13:24.000,1,0,B95E6F49-9904-4D53-89AB-50C40CC04F54,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,52A9A2A2-B0AB-41A9-A560-3052EFD46412,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
3,2012-05-31 00:00:00,2012-05-31 05:13:24.000,2012-05-31 13:38:03.000,1,0,2232D363-91D6-4F35-8677-32A9FACB0CB4,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,B3FCD11C-B416-42C4-ADAC-0BB5982890AF,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
3,2013-02-03 00:00:00,2013-02-03 05:54:48.000,2013-02-03 13:23:59.000,1,0,14867A35-6CCC-4EFC-9AC3-777DAEE39AB6,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,B3FCD11C-B416-42C4-ADAC-0BB5982890AF,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
1,2012-06-01 00:00:00,2012-05-31 13:38:03.000,2012-05-31 22:26:46.000,1,0,6543F2CA-631B-472B-A2B6-3FCD0A5F1440,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,CE56837A-79FC-40BD-9649-3B4102E6C965,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2013-02-04 00:00:00,2013-02-03 21:45:27.000,2013-02-04 05:45:44.000,1,0,D710D6D3-E4CE-4594-9C57-4E9570A3C252,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,52A9A2A2-B0AB-41A9-A560-3052EFD46412,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2013-02-06 00:00:00,2013-02-05 21:31:43.000,2013-02-06 05:30:27.000,1,0,7887C4A4-816A-4D22-91A4-0D69546B4B40,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,CAF21B23-7CDA-42C4-A89A-2ED3F620F801,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
3,2013-02-06 00:00:00,2013-02-06 05:30:27.000,2013-02-06 13:47:43.000,1,0,EBD7EBFE-92AA-49CD-B9E1-8524DF547B07,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,B3FCD11C-B416-42C4-ADAC-0BB5982890AF,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
1,2013-02-07 00:00:00,2013-02-06 13:47:43.000,2013-02-06 22:24:10.000,1,0,CBD60A45-CA30-4359-BBD3-38F62710027B,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,52A9A2A2-B0AB-41A9-A560-3052EFD46412,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2013-02-07 00:00:00,2013-02-06 22:24:10.000,2013-02-07 05:35:33.000,1,0,CAB2BCA2-5F6D-42C3-BEF4-BBCC008AC312,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,CAF21B23-7CDA-42C4-A89A-2ED3F620F801,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
3,2013-02-07 00:00:00,2013-02-07 05:35:33.000,2013-02-07 13:26:53.000,1,0,BAB4A43D-5DF7-44E0-A052-1344DBC71EF4,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,9AE0F007-17D6-4B54-97A8-A62557E4F7C6,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
1,2013-02-08 00:00:00,2013-02-07 13:26:53.000,2013-02-07 21:30:46.000,1,0,F442CB5A-A706-47AD-BC32-84E316DE2119,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,52A9A2A2-B0AB-41A9-A560-3052EFD46412,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2013-02-09 00:00:00,2013-02-08 21:56:09.000,2013-02-09 05:40:16.000,1,0,0ADD8876-661A-4087-A3A1-F311CEE3B868,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,CAF21B23-7CDA-42C4-A89A-2ED3F620F801,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2012-06-02 00:00:00,2012-06-01 22:14:34.000,2012-06-02 05:47:45.000,1,0,D5C35345-0CFA-4BE3-BB9B-183E27B2F272,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,52A9A2A2-B0AB-41A9-A560-3052EFD46412,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
3,2013-02-10 00:00:00,2013-02-10 05:27:30.000,2013-02-10 13:54:57.000,1,0,0B0D4017-7E6B-45AF-9CD3-C959757527D7,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,B3FCD11C-B416-42C4-ADAC-0BB5982890AF,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
1,2013-02-11 00:00:00,2013-02-10 13:54:57.000,2013-02-10 21:33:51.000,1,0,91830003-7A55-4328-ACD4-723C14695CF5,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,9AE0F007-17D6-4B54-97A8-A62557E4F7C6,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2013-02-11 00:00:00,2013-02-10 21:33:51.000,2013-02-11 05:24:43.000,1,0,5268FD24-BC39-4455-93C5-E1A38F080FB7,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,CAF21B23-7CDA-42C4-A89A-2ED3F620F801,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
1,2013-02-13 00:00:00,2013-02-12 13:57:04.000,2013-02-12 21:43:56.000,1,0,90135852-DC4C-47DB-89F7-F8C30B765621,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,9AE0F007-17D6-4B54-97A8-A62557E4F7C6,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2013-02-13 00:00:00,2013-02-12 21:43:56.000,2013-02-13 05:29:42.000,1,0,87403648-039B-4E17-8455-E35071DF77B7,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,CAF21B23-7CDA-42C4-A89A-2ED3F620F801,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
3,2013-02-13 00:00:00,2013-02-13 05:29:42.000,2013-02-13 13:54:43.000,1,0,173CD4DC-E021-45C8-96F9-0B32627A2496,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,9AE0F007-17D6-4B54-97A8-A62557E4F7C6,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
1,2013-02-14 00:00:00,2013-02-13 13:54:43.000,2013-02-13 21:24:28.000,1,0,F1EB1BB6-5B83-4EEE-B7D3-8B5AA7B6B89B,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,9AE0F007-17D6-4B54-97A8-A62557E4F7C6,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2012-06-03 00:00:00,2012-06-02 21:41:53.000,2012-06-03 05:30:59.000,1,0,1A91FED6-5D85-4453-BA90-315BB9791BC1,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,52A9A2A2-B0AB-41A9-A560-3052EFD46412,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
3,2013-02-14 00:00:00,2013-02-14 05:31:18.000,2013-02-14 13:56:33.000,1,0,F9095786-1DB8-47E3-86AC-A3AC7AAB71F5,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,B3FCD11C-B416-42C4-ADAC-0BB5982890AF,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
